Respondent,,"Other wiki tool (Github, Google Sites, proprietary software, etc.)",Trello,Stack Overflow Enterprise,Jira,HipChat,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",Confluence,"Other chat system (IRC, proprietary software, etc.)",Facebook,Google Hangouts/Chat,Slack
1,,,,,,,,,,,,1
3,,1,,,,,1,1,,,,1
4,,,,,,,,,,,,
5,,,,,,,,,,,,
7,,,,,,,1,,,,,
8,,,,,1,,1,1,1,,,
9,,1,,1,,,1,1,1,,,
10,,1,1,,,,1,,,1,1,1
11,,,,,1,1,1,1,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,1,,,1,,,,
29,,,,,,,,,,,,
31,,,,,,,,,,,,
33,,,,,1,,1,1,,,,1
34,,,,,1,,1,1,,,,1
37,,,,,,,1,,,,,
38,,,,,1,,,,,,1,1
39,,,1,,1,,1,,,1,1,
41,,,,,,,,,,1,1,
43,,,,,,,,1,,1,1,1
44,,,,,,,,,1,,,1
45,,,,,,,,,,,,
46,,1,,,1,,,,1,,,
47,,,,,1,,,1,,,,1
50,,,,,1,1,,1,,,,1
51,,1,,,,,1,,,,,
52,,1,,,,,1,,,,,1
53,,,,,,,,,,,,
54,,1,,,,,,,1,,1,1
55,,,1,,,,,,,,,1
56,,,1,,,,1,,,1,,
57,,,,,,,,,,,,
59,,1,1,,,,1,,,,,1
60,,,,,,,,,,,,
61,,,,,,,,,1,,,
63,,,,,,,,,,,,
66,,,,,1,,1,1,1,,,
67,,,,,1,,,,,,,
71,,,,,,,,,,,1,
72,,,,,1,,,1,,,,1
75,,,,,,,,,,,,
76,,1,1,,1,,,,,,,
77,,1,,,1,,,1,,,,1
78,,,,,,,,,,,,
79,,,1,,,,1,,,,,1
80,,,,,,,,,,,,
81,,1,,,1,,1,1,1,,,
82,,,,,,,,,,,,
83,,,,,,,1,,,,,
84,,1,,,1,,,1,1,,,
85,,1,,,,,,,1,,,1
87,,,,,1,,,,,,,1
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,1
91,,1,,,1,,,1,,,,1
92,,,1,,1,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,1,,1,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
101,,,,,,,,,,,,
103,,,,,,,,,,,,
105,,,,,1,,,,,,,
106,,,,,,,,,,,,
107,,,,,,,,,,,,
111,,,,,,,,,,,,
112,,,,,,,,,,,,
113,,,,,,,,,,,,
117,,1,1,,1,1,1,1,,,1,1
118,,,,,,,,,,,,
119,,,1,,,,,,,,1,1
120,,,,,1,,1,1,,1,,1
122,,,,,,,,,,,,1
123,,,,,1,,,1,1,,,
124,,,,,,,,,,,1,1
125,,1,,,,,,,,,,
126,,1,,,,,,,,,,1
127,,,,,1,,,,,,,
129,,1,,,,,,,,,,1
131,,,,,1,,1,1,,,,
132,,,,,,,,,,,,
133,,,,,,,,,,,,
134,,,,,,,,,,,1,
135,,,,,,,1,,,,,
136,,,,,,,,,,,,
137,,,,,1,,,,,,,1
138,,,,,,,,,,,,
140,,,,,,,,,,,,1
141,,,,,,,,,,,,
142,,,1,,,,,,1,,,
143,,,,,,,,,,,,
146,,,1,1,,,1,,,,,1
148,,1,,,1,,,1,,,1,1
149,,,,,,,,,,,,
150,,,,,,,,,,,,
151,,1,,,,,1,,,,,1
152,,,,,,,,,,,,
153,,1,,,1,,,1,,,,1
155,,,,,,,1,,,,,
156,,,,,,,,,,,,
157,,,,,,,,,,,,
158,,,,,,,,,,,,
160,,,,,,,,1,,,,
161,,1,,,,,,,,,,1
162,,,,,,,,,,,,
163,,1,1,,,,,1,,,,1
164,,1,1,,1,,,,,,,1
167,,,,,,,,,1,,,
168,,,1,,1,,,1,,,,1
169,,1,,,1,,,1,1,,,1
170,,,,,,,1,,,,,
175,,,,,,,,,,,,
177,,1,,,,,1,,1,,,
179,,,,,,,,,,,,
181,,,,,,,,,,,,
182,,1,,,,,1,,1,,,
184,,1,,,,,1,,,,1,1
186,,,,,,,,,,,,1
187,,,,,,,,,1,,,
188,,,,,,,,,,,,1
189,,,,,1,,,,,,,1
192,,,,,1,,,1,,,,1
194,,,,,,,,,,,,
195,,1,,,1,,,,,,,1
196,,1,1,,1,1,1,1,,,,1
198,,1,,,,,,,,,,1
201,,,,,1,,,,,,1,1
202,,,,,,,,,,,,
206,,1,,,,,1,,,,1,1
211,,,,,,,,,,,,
212,,,,,,,,,,,,
213,,,1,,1,,,,,,,1
214,,,,,,,,,,,,1
216,,,,,1,,,,1,,,
217,,,,,1,,,1,,,,1
218,,,,,1,1,,1,,,,
219,,1,,1,,,,,,1,,1
222,,,,,,,1,,1,,,
226,,1,,,1,,1,,,,,
228,,,,,,,,,,,,
230,,,,,,,,,,,,
231,,1,,1,1,,,,1,,1,
233,,,,,1,,1,,,,,1
234,,,,,,,,,,,,
236,,,,,,,,,,,,
237,,,,,,,,,,,,1
240,,,1,,,,,,,1,1,
242,,,,,,,,,,,,
243,,,,,,,,,,,,
244,,,,,,,,,,,,
245,,,,,,,,,,,,1
246,,,,,,,,,,,,1
247,,1,,,,,,,,,,
248,,,,,1,,1,1,,,,1
249,,,1,,1,,,,,,,1
250,,,,,,,,,,,,
251,,,,,,,1,,,,,
253,,,,,,,,,,,,
254,,1,,,,,,,,,,1
255,,1,1,,1,,,1,,,,1
256,,1,,,,,,,,,1,
257,,1,,,,,1,,,,,
260,,,1,,1,,,1,,,,1
261,,1,1,,,,,,1,,,1
263,,,,,,,,,,,,
264,,1,1,,1,,,,1,,,1
265,,,,,,,,,,,,
266,,,,,,,,,,,,
267,,,,,,,,,,,,
270,,,,,,,,,1,,,
271,,1,1,,,,1,,,,1,
272,,,,,1,,,1,,,1,
274,,,,,,,,,,,,
278,,,,,,,1,,,,,
279,,,,,,,1,,1,,,1
280,,,,,,,,,,,,
282,,1,,,,,,,,,,
283,,,,,,,,,,,,
284,,,,,1,,1,,,,,
285,,,,,1,,,,,,1,1
286,,,1,,1,,,1,,,,
287,,,,,,,1,,,,,
289,,,,,1,,1,,,,1,
291,,1,,,,,,,1,,,
293,,,,,,,,,,,,
294,,,,,1,,,,,,,1
295,,,,,1,,1,,,,,
296,,,,,,,,,,,1,1
297,,,,,,,,,,,,
298,,,,,,,1,,,,,1
299,,1,,,,,,,,,,1
302,,,,,1,,,1,,,,1
303,,,,,,,1,,1,,,
304,,1,,,,,1,,1,,,
305,,,,,,,1,,,,,
306,,,,,,,,,,,,
307,,,,,,,1,,,,,
308,,,,,,,,,,,,
310,,,,,,,,,,,,
313,,1,1,1,,,,,,,,1
315,,,,,,,,,,,,
316,,,,,,,,,,,,
317,,,,,,,,,,,,
318,,,1,,1,,,1,,,1,1
319,,,1,,,,,,,,,1
320,,,1,,1,,,1,,,,1
321,,,,,1,,1,,,,,1
323,,1,,,1,,,1,,,,1
324,,,,,,,1,,,,,
325,,,,,,,,,,,,
327,,,,,,,1,1,,,,
328,,,1,,,,,,,,,1
330,,,,,,,,,,,,
332,,1,,,,,,,,,,
333,,,,,,,,,,,,
334,,,,,,,,,,,,
337,,1,,,,,,,,1,,
338,,,,,1,1,1,1,,,1,
340,,1,1,,,,,,,,1,1
342,,,,,,,,,,,,
343,,,,,,,,,,,,
344,,,1,,1,,,1,1,,,1
345,,,,,,,,,,,,
346,,1,,,1,,,1,1,,,
348,,,,,,,,,,,,
350,,,,,,,1,,,,,
351,,,,,1,,1,1,,,,
352,,1,,,1,,,,,1,1,
354,,,,,1,,,1,,,,
355,,,,,,,,,,,,
357,,1,,,1,,,,,,,1
359,,,,,,,,,,,,
360,,,1,,1,,,,,1,,1
361,,,,,1,,,,1,1,,
362,,1,,,,,,,,,,1
363,,,1,,,,,,,,,1
364,,,,,1,,1,1,1,,,
365,,,,,,,,,,,,
366,,,,,,,1,,,,1,
367,,1,,,,,,,,,,
368,,,,,,,,,,,,
369,,,,,,,,,,,,
371,,1,,,1,,1,,,,1,
372,,1,,,1,,,,,,,1
373,,,1,,1,,,1,,,,1
374,,,,,,,,,,,,
377,,,,,,,1,,,,,
378,,1,,,,,,,1,,,1
379,,,,,,,,1,,,,1
380,,,,,1,1,,1,,,,
382,,,,,,,,,,,,
383,,1,,,,,,1,,,,1
384,,,,,,,,,,,,
387,,,,,,,,,,,,
388,,,,,,,,,,,,
389,,,,,,,,,,,,
