Respondent,,React,Spring,.NET Core,Django,Cordova,Angular,Hadoop,Node.js,TensorFlow,Torch/PyTorch,Xamarin,Spark
1,,1,,,1,,,,,,,,
3,,,,,1,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,1,,1,,,,
9,,1,,,,,,,1,,,,
10,,,,,,,1,,1,,,,
11,,1,,,,,,1,1,,,,1
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,1,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,1,,,,,,,,,
29,,,,,,,1,,,,,,
31,,,,,,,,,,,,,
33,,,,,,,1,,1,,,,
34,,,,,1,,,,,,,,
37,,,,1,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,1,1,,,,,,
41,,,,,,,1,,1,,,,
43,,1,,,,,,,1,,,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,1,,,,,1,,,,,,
47,,,,,1,,,,,,,,
50,,1,1,,,,1,,1,,,,
51,,,,,,,,,,,,,
52,,,,,,,1,,1,,,,
53,,,,,,,1,,1,,,,
54,,1,,,,,,,,,,,
55,,1,,1,,,,,1,,,,
56,,,,1,,,1,,,,,1,
57,,,,,,,,,,,,,
59,,,,1,,,,,,,,,
60,,,,,,,,,,1,,,
61,,,,1,,,1,,1,,,,
63,,,,,,,,,,,,,
66,,,,1,,,,,,1,,,
67,,,,,,,,,,,,,
71,,,,,1,,,,,,,,
72,,,1,,,,,,1,,,,
75,,,,,,,,,,,,,
76,,,,,,,,,,,,,
77,,,,,,,,,,,,,
78,,,,,,,,,,,,,
79,,,,,,1,1,,1,,,,
80,,,,,,,,,,,,,
81,,,1,,,,,,,,,,
82,,,,,,,,,,,,,
83,,,,,,,,,,1,,,
84,,,,,,,,,,,,,
85,,1,,,1,,1,,1,,,,
87,,,1,,,,,,,,,,
88,,,,,,,,,,,,,
89,,,,,,,,,,,,,
90,,,,,,,,,,,,,
91,,,,,,,,1,,,1,,1
92,,,,,,,1,,1,,,,
95,,,,,,,,,1,,,,
96,,,,,,,,,,,,,
97,,,,,,,,,,,,,
