Respondent,,WordPress,Mainframe,Raspberry Pi,Arduino,Firebase,Predix,Android,Mac OS,Google Cloud Platform/App Engine,Google Home,IBM Cloud or Watson,Azure,Gaming console,AWS,Apple Watch or Apple TV,Windows Phone,Amazon Echo,iOS,Salesforce,Linux,ESP8266,Serverless,Heroku,Drupal,SharePoint,Windows Desktop or Server
1,,,,,,1,,,,,,,1,,1,,,,,,1,,,,,,
3,,,,,,,,,,,,,,,,,,,,,1,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,1,,,,,,,,,,,,,,
7,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
8,,,,,,,,,,,,,,,,,,,,,1,,,,,,
9,,,,,,,,,,,,,,,,,,,,,1,,,,,,
10,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
11,,,,,,,,,1,,,,,,1,,,1,1,,1,,1,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,1,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
29,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,1,,1,1,,,,,,1,,,,1,,1,,,,,,
34,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1
37,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1
38,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,
41,,,,,,,,1,,,,,,,,,,,,,1,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,1,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,1,,,,1,,,1,,,,,,,,,1,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,1,,,,,,
50,,,,,,1,,1,1,,,,,,1,,,,1,,1,,,1,,,
51,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,1,,1,,,1,,1,,,,,,,,1,,,,
54,,,,,,,,,,,,,,,,,,,,,1,,,,,,
55,,,,,,,,,1,,,,,,1,,,,,,1,,1,,,,
56,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
60,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,1
66,,,,,1,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
71,,1,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,1,,,1,,,1,,,,,,,,,,,1,,,,,,,,1
77,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
80,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1
