uniq_id,Back End,C-suite executive,Cloud Computing,Data Scientist,Data or business analyst,Database Administrator(DBA),Designer,DevOps,Educator or academic researcher,Embedded applications or devices developer,Engineering manager,Enterprise application,Front End,Full stack,Game developer,Information Security,Mobile Developer,Network Engineer,Product Manager,QA/Test Developer,Sales professional,Software Developer/Java Developer,Student,System Administrator,Unnamed: 1,Web Developer
0,,0,,,,,0,,0,0,0,,,,,,,,,1.0,,,0,,0,
1,,0,,,,,0,,0,0,0,,,,,1.0,,,,,,,0,,0,
2,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
3,,0,,,,,0,,0,0,0,0.1806697428764351,0.1800057711995321,,,,,,,,0.1809903905871178,0.2846397714730364,0,0.1736943238638783,0,
4,,0,,,,,0,1.0,0,0,0,,,,,,,,,,,,0,,0,
5,,0,,,,,0,,0,0,0,,,,,,,,,1.0,,,0,,0,
6,,0,,,,,0,,0,0,0,,,,,,,1.0,,,,,0,,0,
7,0.406523141244494,0,,,,,0,,0,0,0,,,,,,,,,,,,0,,0,0.593476858755506
8,,0,,,,,0,,0,0,0,,1.0,,,,,,,,,,0,,0,
9,,0,,,,,0,,0,0,0,1.0,,,,,,,,,,,0,,0,
10,,0,,,,,0,,0,0,0,,,,,,,0.6892252822737684,,0.3107747177262315,,,0,,0,
11,,0,,,,,0,,0,0,0,,,,,1.0,,,,,,,0,,0,
12,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,0,
13,0.185854754765218,0,,,,,0,,0,0,0,0.175480816706085,0.1748043219685166,,,,,,0.1791078162389298,,0.2847522903212504,,0,,0,
14,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,0,
15,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,1.0,0,
16,,0,,,,,0,,0,0,0,,,,,,,,,1.0,,,0,,0,
17,,0,,,0.5855016974659372,,0,,0,0,0,,,,,0.4144983025340629,,,,,,,0,,0,
18,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,1.0,0,
19,,0,,,,,0,,0,0,0,,0.1325718982759546,0.1264749351522089,,,,0.1272684095147272,0.1360670538932751,,,0.2156509816214372,0,0.1304103697981813,0,0.1315563517442154
20,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,0,
21,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,0,
22,,0,,,,,0,,0,0,0,0.2266357759896309,,,,,,,,0.3351965019720678,0.2203355972072009,,0,0.2178321248311003,0,
23,0.2873186561032223,0,,,,,0,,0,0,0,,,,,0.2866428213731387,,,,,0.426038522523639,,0,,0,
24,,0,,,,,0,,0,0,0,0.2762454230464554,,,,0.2928347159256945,,0.43091986102785,,,,,0,,0,
25,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,0,
26,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,0,
27,,0,,,,,0,,0,0,0,0.1533483064101738,,0.1456934668928899,,,,0.1402954648375258,0.1511192772914592,0.2612140455373551,,,0,0.148329439030596,0,
