Respondent,.net core,angular,cordova,django,hadoop,node.js,react,spark,spring,tensorflow,torch/pytorch,unnamed: 1,xamarin
1,,,,1.0,,,1.0,,,,,,
3,,,,1.0,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,1.0,,,,1.0,,,,,,,
9,,,,,,1.0,1.0,,,,,,
10,,1.0,,,,1.0,,,,,,,
11,,,,,1.0,1.0,1.0,1.0,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,1.0,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,1.0,,,,,,,,,,,,
29,,1.0,,,,,,,,,,,
31,,,,,,,,,,,,,
33,,1.0,,,,1.0,,,,,,,
34,,,,1.0,,,,,,,,,
37,1.0,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,1.0,1.0,,,,,,,,,,
41,,1.0,,,,1.0,,,,,,,
43,,,,,,1.0,1.0,,,,,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,1.0,,,,,1.0,,,,,,
47,,,,1.0,,,,,,,,,
50,,1.0,,,,1.0,1.0,,1.0,,,,
51,,,,,,,,,,,,,
52,,1.0,,,,1.0,,,,,,,
53,,1.0,,,,1.0,,,,,,,
54,,,,,,,1.0,,,,,,
55,1.0,,,,,1.0,1.0,,,,,,
56,1.0,1.0,,,,,,,,,,,1.0
57,,,,,,,,,,,,,
59,1.0,,,,,,,,,,,,
60,,,,,,,,,,1.0,,,
61,1.0,1.0,,,,1.0,,,,,,,
63,,,,,,,,,,,,,
66,1.0,,,,,,,,,1.0,,,
67,,,,,,,,,,,,,
71,,,,1.0,,,,,,,,,
72,,,,,,1.0,,,1.0,,,,
75,,,,,,,,,,,,,
76,,,,,,,,,,,,,
77,,,,,,,,,,,,,
78,,,,,,,,,,,,,
79,,1.0,1.0,,,1.0,,,,,,,
80,,,,,,,,,,,,,
81,,,,,,,,,1.0,,,,
82,,,,,,,,,,,,,
83,,,,,,,,,,1.0,,,
84,,,,,,,,,,,,,
85,,1.0,,1.0,,1.0,1.0,,,,,,
87,,,,,,,,,1.0,,,,
88,,,,,,,,,,,,,
89,,,,,,,,,,,,,
90,,,,,,,,,,,,,
91,,,,,1.0,,,1.0,,,1.0,,
92,,1.0,,,,1.0,,,,,,,
95,,,,,,1.0,,,,,,,
96,,,,,,,,,,,,,
97,,,,,,,,,,,,,
98,,,,,,,,,,,,,
101,,,,,,,,,,,,,
103,,,1.0,,,1.0,,,,,,,
105,,,,,,,,,,,,,
106,,,,,,,,,,,,,
107,,1.0,1.0,,,1.0,,,,,,,
111,,,,,,,,,,,,,
112,,,,,,1.0,,,,,,,
113,1.0,,,,,1.0,,,,,,,
117,,,,,,,1.0,,1.0,,,,
118,,,,,,,,,,,,,
119,,,,1.0,,,,,,,,,
120,,,,,,,,,,,,,
122,,,,,,,1.0,,,,,,
123,,,,,,,,,,,,,
124,,1.0,1.0,,,1.0,1.0,,,,,,
125,,,,,,,,,,,,,
126,,,1.0,,,1.0,,,,,,,1.0
127,,1.0,,,,1.0,,,,,,,
129,,,,,,,,,,,,,
131,,,,,,,,,,,,,
132,,,,,,,,,,,,,
133,,,,,,,,,,,,,
134,,,,1.0,,,,,,,,,
135,,,,1.0,1.0,,,,,,,,
136,,,,,,,,,,,,,
137,,,,,,,,,,,,,
138,,,,,,,,,,,,,
140,,,,,,1.0,,,1.0,,,,
141,,,,,,,1.0,,,,,,
142,,,,,,,,,,,,,
143,,,,,,,,,,,,,
146,,,,,,,,,,,,,
148,,,,,,1.0,1.0,,,,,,
149,,,,,,,,,,,,,
150,,,,,,,,,,,,,
151,,,,,,,1.0,,,,,,
152,,,,1.0,,,,,,,,,
153,,,,,,,,,1.0,,,,
155,,,,,,,,,,,,,
156,,,,,,,,,,,,,
157,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0
158,,,,,,,,,,,,,
160,,,,,,,,,,,,,
161,,,,1.0,,,1.0,,,,,,
162,,,,,,,,,,,,,
163,1.0,1.0,,,,,1.0,,,,,,
164,,,,,,,,,,,,,
167,,,,,,,1.0,,,1.0,,,
168,1.0,1.0,,,,1.0,,,,,,,
169,1.0,,,,,,,,,1.0,,,
170,,1.0,,,,,,,,,,,
175,,1.0,,,,,,,,,,,
177,,,,,,,,,,,,,
179,,,,,,,,,,,,,
181,,,,,,,,,,,,,
182,,,,,,,,1.0,,,,,
184,,,,1.0,,,,,,,,,
186,1.0,,,,,1.0,,,,,,,
187,,,,,1.0,,,1.0,1.0,,,,
188,,,,,,1.0,1.0,,,,,,
189,1.0,1.0,,,,,,,,,,,
192,,1.0,,,,,,,1.0,,,,
194,,,,,,1.0,,,1.0,,,,
195,,,,1.0,,,,,,1.0,,,
196,,1.0,,,,1.0,,,,,,,
198,,,,,,,,,,,,,
201,,,,,,1.0,1.0,,,,,,
202,,,,,,,,,,,,,
206,1.0,,,,,,,,,,,,1.0
211,,,,,,,,,,,,,
212,,,,,,,,,,,,,
213,,,1.0,,,,,,,,,,
214,,,,,,,,,,,,,
216,1.0,,,,,1.0,,,,,,,
217,,,,1.0,,,1.0,,,,,,
218,,,,,,,1.0,,,1.0,,,
219,,1.0,,,,,,,,,,,
222,1.0,1.0,1.0,,,1.0,,,,,,,
226,1.0,1.0,,,,,,,,,,,
228,,,1.0,,,,,,,,,,
230,,,,,,,,,,,,,
231,,1.0,,,,,1.0,,,,,,
233,,,,,,,1.0,,,,,,
234,1.0,1.0,1.0,,,1.0,,,,,,,
236,,,,,,,,,,,,,
