,Network Engineer,Full stack,QA/Test Developer,Enterprise application,DevOps,Mobile Developer,Back End,Database Administrator(DBA),Front End,Game developer,System Administrator,Data Scientist,Business analyst,Sales professional,Product Manager,Information Security,Software Developer/Java Developer,Web Developer,Cloud Computing
418ff92580b270ef4e7c14f0ddfc36b4,,,1.0,,,,,,,,,,,,,,,,
8aec88cba08d53da65ab99cf20f6f9d9,,,,,,,,,,,,,,,,1.0,,,
46baa1f69ac07779274bcd90b85d9a72,,,,,,,,,,,,,1.0,,,,,,
3941b2f206ae0f900c4fba4ac0b18719,,,,0.18066974287643517,,,,,0.18000577119953218,,0.17369432386387834,,,0.1809903905871178,,,0.2846397714730364,,
45efa1f6bc65acc32bbbb953a1ed13b7,,,,,1.0,,,,,,,,,,,,,,
e0ac9d926dda5e95162ef05adea7318c,,,1.0,,,,,,,,,,,,,,,,
e7e326053c586bd94e59f1fd74de4a1b,1.0,,,,,,,,,,,,,,,,,,
b0dadecf4c3c2beecb9c773ca11ecda4,,,,,,,0.406523141244494,,,,,,,,,,,0.593476858755506,
28f5e0c1cc3314813e674f0c32b04d1b,,,,,,,,,1.0,,,,,,,,,,
95c9127e2770172f454f3b83981eaa88,,,,1.0,,,,,,,,,,,,,,,
5e0ff38f5eaf44726f4e3d1dd257a244,0.6892252822737684,,0.31077471772623155,,,,,,,,,,,,,,,,
e4a1ff1b6c0fda5f345e57cf1acb40dd,,,,,,,,,,,,,,,,1.0,,,
d0c81a2e3e5d666f3d730f1048c49132,,,,,,,,,,,,,,,1.0,,,,
51279d060da242e3baea98b26ddd641e,,,,0.17548081670608506,,,0.18585475476521804,,0.17480432196851664,,,,,0.2847522903212504,0.1791078162389298,,,,
48b7ca0c2f6191fb48e7ecf19fbd3322,,,,,,,,,,,,,,,1.0,,,,
9e5704d08bc07ddb6df9ef98b223b036,,,,,,,,,,,1.0,,,,,,,,
e4dceaaaaae37ca6eabb04a7d42498b4,,,1.0,,,,,,,,,,,,,,,,
7ad2eadde69e07fee0e38c1a251dd81f,,,,,,,,,,,,,0.5855016974659372,,,0.41449830253406295,,,
f3af6886ca0d133abda2ddf9b84633e4,,,,,,,,,,,1.0,,,,,,,,
e4f57bc5366124a0a47cac27f557f9ec,0.12726840951472723,0.12647493515220898,,,,,,,0.13257189827595464,,0.13041036979818135,,,,0.13606705389327517,,0.21565098162143728,0.1315563517442154,
d3073d47b79938269b22bdea4dc0b9b8,,,,,,,,,,,,,1.0,,,,,,
c014c8569c91f22bc871940bfa4b4296,,,,,,,,,,,,,,,1.0,,,,
b7fab2d3de5e129310b382d8f51508f6,,,0.3351965019720678,0.2266357759896309,,,,,,,0.21783212483110037,,,0.22033559720720094,,,,,
4868383e3f99535778f354fcb734d57c,,,,,,,0.2873186561032223,,,,,,,0.426038522523639,,0.28664282137313873,,,
81f8732626888727fcc1093b6c084839,0.43091986102785,,,0.27624542304645544,,,,,,,,,,,,0.2928347159256945,,,
cf902dc6fd702207563ed1cdc03ef05e,,,,,,,,,,,,,,,1.0,,,,
1bef3cf6259e80d18222407858ad9052,,,,,,,,,,,,,,,,,1.0,,
72a3f0f0f24a0a78c5fac3c2376f5979,0.1402954648375258,0.14569346689288998,0.2612140455373551,0.15334830641017388,,,,,,,0.14832943903059606,,,,0.1511192772914592,,,,
4a3f8742fae151757eb290a774968371,,0.20818640800804566,,,,,0.21476990818060454,,,,,,,,0.21907612402888196,0.35796755978246775,,,
b1db84e23f424b1481b29212749abadc,0.4248062075338404,,,,,,0.28462554783989996,,,,,,,,,0.2905682446262597,,,
51a0050d469e787dba2102383797536d,,,,,,,,,,,,,,,,,1.0,,
f2ade5d053b992593e2bdacd83a18a7f,,,,,,,,,,,,,1.0,,,,,,
2831bbdba025f87efca38b9761f26b95,,,,,,0.5887142450229619,0.4112857549770381,,,,,,,,,,,,
2b2322459de27834b0c3c86737fb16a8,,,,0.18063083925426052,,,,,0.1768634138079666,,0.17673361810274485,,,,0.1715886606345393,,0.2941834682004888,,
b923d29624fb4dc9e193aa30f8253ee6,,,,,,,,,,,,,1.0,,,,,,
5be5533c9ed448d1ef92016a56573869,,,,,,,,,,,,,,,,0.4126281220728907,0.5873718779271093,,
ebdaa795cb443c6b7881b7a15c4c25b1,,,,,,0.1421613172826887,,,,0.13928082538040149,0.28089923544293827,0.14401739713355474,,,,,0.13922070161919106,0.1544205231412258,
d92f267244249065890ee6bde5275f49,,,,,,,,,,,,,,,,,1.0,,
8cbcc9ef3be25e4409fcb4ab55d6503d,,,,,,,,,,,,,,,,,1.0,,
e2f1a046c937631529aec11a56f8590a,,0.1462286214796262,,0.1534195327888583,,0.251120323259542,,,0.15574511383031422,,0.14201301903034927,,,,0.15147338961131004,,,,
a2ef697606d460795dda16de672a5d5d,,,,,,,,,,,,,,,,1.0,,,
